,,全连接神经网络,,,,,LSTM,,,,,
未来长度,历史长度,气化温度,H2,CH4,CO,用时,气化温度,H2,CH4,CO,用时,
10,5,,3.81%,4.57%,4.61%,9.34%,0.116178463,
,10,,4.09%,6.25%,3.71%,9.17%,0.098087685,
,15,,3.28%,6.54%,3.60%,9.37%,0.126582572,
,20,,3.01%,6.98%,4.00%,10.10%,0.11022777,
,25,,3.75%,7.09%,2.56%,9.24%,0.08749032,
,30,,2.92%,7.21%,3.69%,10.64%,0.087540907,
,35,,2.72%,7.89%,3.40%,10.29%,0.101495304,
,40,,3.48%,5.81%,2.80%,9.59%,0.117742259,
,45,,5.14%,10.00%,2.30%,10.34%,0.082854953,
,50,,4.23%,11.16%,3.11%,10.47%,0.091189698,
20,5,,3.82%,4.87%,2.81%,9.46%,0.217723503,
,10,,4.13%,6.69%,2.27%,9.41%,0.218548491,
,15,,3.40%,6.84%,3.02%,9.75%,0.256678214,
,20,,3.37%,7.37%,4.35%,10.45%,0.241379419,
,25,,4.27%,7.76%,2.87%,9.80%,0.184753507,
,30,,3.31%,7.81%,4.15%,11.20%,0.202394543,
,35,,2.90%,8.68%,3.81%,10.95%,0.191886784,
,40,,4.02%,6.67%,3.36%,10.10%,0.183451184,
,45,,5.82%,11.50%,2.61%,10.69%,0.185377,
,50,,4.85%,12.77%,3.27%,10.71%,0.217397861,
30,5,,4.13%,5.06%,2.10%,9.66%,0.295260567,
,10,,4.52%,7.01%,1.86%,9.70%,0.345911521,
,15,,3.74%,7.24%,3.25%,10.02%,0.367811915,
,20,,3.76%,7.89%,4.62%,10.78%,0.338631552,
,25,,4.78%,8.55%,3.20%,10.20%,0.286826596,
,30,,3.66%,8.62%,4.34%,11.90%,0.25665472,
,35,,3.26%,9.76%,3.95%,11.59%,0.269841896,
,40,,4.41%,7.60%,3.43%,10.29%,0.34022028,
,45,,6.43%,12.81%,2.53%,10.64%,0.254475058,
,50,,5.68%,14.89%,2.83%,10.83%,0.268705469,
40,5,,4.53%,5.48%,2.13%,10.04%,0.375586643,
,10,,5.10%,7.52%,1.99%,10.16%,0.480399884,
,15,,4.21%,7.88%,3.51%,10.46%,0.478401243,
,20,,4.31%,8.77%,4.80%,11.22%,0.384543554,
,25,,5.32%,9.66%,3.30%,10.35%,0.377899105,
,30,,4.08%,9.50%,4.14%,12.46%,0.422919073,
,35,,3.91%,10.84%,3.80%,11.93%,0.372062423,
,40,,4.99%,8.62%,3.00%,10.24%,0.450445282,
,45,,7.37%,15.55%,1.93%,10.96%,0.379764278,
,50,,5.80%,17.59%,2.91%,11.97%,0.353487857,
50,5,,5.01%,6.21%,2.41%,10.68%,0.467537172,
,10,,5.75%,8.49%,2.25%,10.87%,0.589455402,
,15,,4.78%,8.97%,3.73%,11.00%,0.590507806,
,20,,5.07%,9.72%,4.72%,11.55%,0.472467971,
,25,,6.15%,10.78%,3.19%,10.20%,0.548710235,
,30,,4.81%,10.73%,3.62%,12.98%,0.529985297,
,35,,4.43%,13.11%,3.65%,12.69%,0.549516262,
,40,,5.14%,10.65%,3.25%,11.47%,0.610866888,
,45,,6.62%,17.59%,2.31%,12.57%,0.44122035,
,50,,4.71%,18.32%,3.20%,14.32%,0.489091909,
60,5,,5.63%,7.20%,2.66%,11.47%,0.540749164,
,10,,6.62%,9.60%,2.58%,11.65%,0.715849409,
,15,,5.55%,10.07%,3.86%,11.47%,0.710114124,
,20,,6.07%,11.19%,4.59%,11.99%,0.525024426,
,25,,6.99%,13.05%,2.93%,10.71%,0.56216945,
,30,,5.11%,13.04%,4.08%,14.26%,0.621441253,
,35,,4.36%,14.62%,4.41%,14.61%,0.594352322,
,40,,4.51%,12.02%,3.42%,14.54%,0.580746603,
,45,,4.29%,16.89%,2.04%,15.70%,0.550302839,
,50,,3.99%,15.81%,2.29%,18.20%,0.535763526,
